method,uri,status,bytes_sent,request_time,rule_count,severity_score,user_agent_len,uri_len,has_sqli_pattern,has_xss_pattern,has_suspicious_path,label
GET,/lib/pkp/lib/vendor/tinymce/tinymce/themes/modern/theme.min.js,200,0,0.0,0,0,0,62,0,0,0,0
GET,/plugins/generic/tinymce/plugins/pkpWordcount/plugin.js,200,0,0.0,0,0,0,55,0,0,0,0
GET,/plugins/generic/tinymce/plugins/pkpTags/plugin.js,200,0,0.0,0,0,0,50,0,0,0,0
GET,/TEST/workflow/submissionProgressBar?submissionId=2&stageId=1&contextId=submission&_=1776396346557,200,0,0.0,0,0,0,98,0,0,0,0
GET,/plugins/generic/tinymce/plugins/pkpTags/plugin.js,200,0,0.0,0,0,0,50,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/link/plugin.min.js,200,0,0.0,0,0,0,62,0,0,0,0
GET,/plugins/generic/tinymce/plugins/pkpWordcount/plugin.js,200,0,0.0,0,0,0,55,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/noneditable/plugin.min.js,200,0,0.0,0,0,0,69,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/paste/plugin.min.js,200,0,0.0,0,0,0,63,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/noneditable/plugin.min.js,200,0,0.0,0,0,0,69,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/paste/plugin.min.js,200,0,0.0,0,0,0,63,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/plugins/link/plugin.min.js,200,0,0.0,0,0,0,62,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/skins/lightgray/content.inline.min.css,200,0,0.0,0,0,0,74,0,0,0,0
GET,/lib/pkp/lib/vendor/tinymce/tinymce/skins/lightgray/skin.min.css,200,0,0.0,0,0,0,64,0,0,0,0
GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776396346558,200,0,0.0,0,0,0,93,0,0,0,0
GET,/TEST/$$$call$$$/grid/article-galleys/article-galley-grid/fetch-grid?submissionId=2&publicationId=2&_=1776396346560,200,0,0.0,0,0,0,115,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/author/author-grid/fetch-grid?submissionId=2&publicationId=2&_=1776396346559,200,0,0.0,0,0,0,104,0,0,0,0
GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346563,200,0,0.0,0,0,0,127,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346562,200,0,0.0,0,0,0,120,0,0,0,0
GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776396346561,200,0,0.0,0,0,0,98,0,0,0,0
GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776396346564,200,0,0.0,0,0,0,94,0,0,0,0
GET,/TEST/$$$call$$$/grid/queries/queries-grid/read-query?submissionId=2&stageId=1&queryId=2&_=1776396346565,200,0,0.0,0,0,0,104,0,0,0,0
GET,/TEST/$$$call$$$/grid/queries/queries-grid/participants?queryId=2&submissionId=2&stageId=1&_=1776396346566,200,0,0.0,0,0,0,106,0,0,0,0
GET,/TEST/$$$call$$$/grid/queries/query-notes-grid/fetch-grid?queryId=2&submissionId=2&stageId=1&_=1776396346567,200,0,0.0,0,0,0,108,0,0,0,0
GET,/TEST/$$$call$$$/page/page/tasks?_=1776396346568,200,0,0.0,0,0,0,48,0,0,0,0
GET,/TEST/$$$call$$$/grid/notifications/task-notifications-grid/fetch-grid?_=1776396346569,200,0,0.0,0,0,0,86,0,0,0,0
GET,/TEST/workflow/index/2/a,302,0,0.0,0,0,0,24,0,0,0,0
GET,/TEST/user/authorizationDenied?message=user.authorization.workflowStageRequired,200,0,0.0,0,0,0,79,0,0,0,0
GET,/TEST/workflow/index/2/1,200,0,0.0,0,0,0,24,0,0,0,0
POST,/TEST/notification/fetchNotification,200,0,0.0,0,0,0,36,0,0,0,0
GET,/TEST/workflow/submissionProgressBar?submissionId=2&stageId=1&contextId=submission&_=1776398177635,200,0,0.0,0,0,0,98,0,0,0,0
GET,/TEST/$$$call$$$/tab/workflow/workflow-tab/fetch-tab?submissionId=2&stageId=1&_=1776398177636,200,0,0.0,0,0,0,93,0,0,0,0
GET,/TEST/$$$call$$$/grid/files/submission/editor-submission-details-files-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177639,200,0,0.0,0,0,0,127,0,0,0,0
GET,/TEST/$$$call$$$/grid/users/stage-participant/stage-participant-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177638,200,0,0.0,0,0,0,120,0,0,0,0
GET,/TEST/$$$call$$$/grid/queries/queries-grid/fetch-grid?submissionId=2&stageId=1&_=1776398177640,200,0,0.0,0,0,0,94,0,0,0,0
GET,/TEST/workflow/editorDecisionActions?submissionId=2&stageId=1&contextId=submission&_=1776398177637,200,0,0.0,0,0,0,98,0,0,0,0
